id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link,representative figure link
US-10636516-B2,Healthcare information analysis and graphical display presentation system ,T6 Health Systems Llc,"Lewis S. Cohen, Larissa ROUX, Morad HAMEED, Hubert BANDURSKI, Igor Muravyov",2014-07-15,2015-07-15,2020-04-28,2020-04-28,https://patents.google.com/patent/US10636516B2/en,https://patentimages.storage.googleapis.com/31/f9/91/45201814500356/US10636516-20200428-D00000.png
US-9305140-B2,System and method of applying state of being to health care delivery ,Georgetown University,"Howard Federoff, Ophir Frieder, Eric Burger",2012-07-16,2012-07-16,2016-04-05,2016-04-05,https://patents.google.com/patent/US9305140B2/en,https://patentimages.storage.googleapis.com/15/93/df/d8a1ba2f17e23a/US09305140-20160405-D00000.png
US-10417446-B2,"Information management apparatus and method for medical care data, and non-transitory computer readable medium ",Fujifilm Corporation,Shinichi Takeyama,2015-03-10,2016-03-09,2019-09-17,2019-09-17,https://patents.google.com/patent/US10417446B2/en,https://patentimages.storage.googleapis.com/a5/ad/39/4eab207f99901a/US10417446-20190917-D00000.png
US-11170881-B2,Devices and method for a healthcare collaboration space ,General Electric Company,"Omer BARKOL, Sagi Schein, Ruth Bergman, Paul Mullen, Ludovic Avot, Jeffrey Hersh",2018-05-18,2018-05-18,2021-11-09,2021-11-09,https://patents.google.com/patent/US11170881B2/en,https://patentimages.storage.googleapis.com/11/46/82/c625fe45ef27a4/US11170881-20211109-D00000.png
US-10665334-B2,Method and system for automated healthcare care coordination and care transitions ,Health Business Intelligence Corp.,"Siamak Baniameri, Koorosh Yasami, Greg Wong",2013-03-15,2018-01-22,2020-05-26,2020-05-26,https://patents.google.com/patent/US10665334B2/en,https://patentimages.storage.googleapis.com/18/a5/2a/dc09313bd18fde/US10665334-20200526-D00000.png
US-10042979-B2,"Systems and methods for integrating, unifying and displaying patient data across healthcare continua ","Airstrip Ip Holdings, Llc","Stephen Trey Moore, Augustine Vidal Pedraza, IV, Neil R. McQueen, Lloyd Kory Brown, Thomas Scott Wade, William Bryan Crane, Jean-Francois Lancelot",2013-03-01,2014-02-28,2018-08-07,2018-08-07,https://patents.google.com/patent/US10042979B2/en,https://patentimages.storage.googleapis.com/96/9a/25/0b61b6e36057de/US10042979-20180807-D00000.png
US-8805900-B2,"Methods, apparatuses and computer program products for facilitating location and retrieval of health information in a healthcare system ",Mckesson Financial Holdings,"Charles Curran, Susannah D'Oench",2012-03-30,2012-03-30,2014-08-12,2014-08-12,https://patents.google.com/patent/US8805900B2/en,https://patentimages.storage.googleapis.com/64/2b/79/a3105baea2b421/US08805900-20140812-D00000.png
US-10217527-B2,"Systems and methods for integrating, unifying and displaying patient data across healthcare continua ","Airstrip Ip Holdings, Llc","Stephen Trey Moore, Augustine Vidal Pedraza, IV, Neil R. McQueen, Lloyd Kory Brown, Thomas Scott Wade",2013-03-01,2014-02-28,2019-02-26,2019-02-26,https://patents.google.com/patent/US10217527B2/en,https://patentimages.storage.googleapis.com/dd/cd/85/e96ad1fe608a9a/US10217527-20190226-D00000.png
US-10366204-B2,System and method for decentralized autonomous healthcare economy platform ,"Change Healthcare Holdings, Llc","Theodore Tanner, JR., Timothy Scott Dunlevy",2015-08-03,2015-11-05,2019-07-30,2019-07-30,https://patents.google.com/patent/US10366204B2/en,https://patentimages.storage.googleapis.com/77/44/ff/5e47749d63d1ab/US10366204-20190730-D00000.png
US-11276496-B2,Method and systems for a healthcare provider assistance system ,General Electric Company,"Tal Kenig, Paul Mullen",2018-11-21,2018-11-21,2022-03-15,2022-03-15,https://patents.google.com/patent/US11276496B2/en,https://patentimages.storage.googleapis.com/38/7c/9d/5af8f325b6c00d/US11276496-20220315-D00000.png
US-10068057-B2,"Systems and methods for integrating, unifying and displaying patient data across healthcare continua ","Airstrip Ip Holdings, Llc",Stephen Trey Moore,2013-03-01,2014-02-28,2018-09-04,2018-09-04,https://patents.google.com/patent/US10068057B2/en,https://patentimages.storage.googleapis.com/b3/f9/71/113fce1568d7e0/US10068057-20180904-D00000.png
US-9330236-B2,Healthcare assurance system ,"Cerner Innovation, Inc.",Bruce Howard Kusens,2013-01-14,2014-01-14,2016-05-03,2016-05-03,https://patents.google.com/patent/US9330236B2/en,https://patentimages.storage.googleapis.com/b3/77/62/a51496a4945e52/US09330236-20160503-D00000.png
US-11087878-B2,Methods and systems for improving connections within a healthcare ecosystem ,General Electric Company,"Guy Robert Vesto, Rizwan Ahmed",2014-08-31,2019-02-06,2021-08-10,2021-08-10,https://patents.google.com/patent/US11087878B2/en,https://patentimages.storage.googleapis.com/08/c2/2e/11576537cafe8d/US11087878-20210810-D00000.png
US-11004547-B2,Systems and methods of aggregating healthcare-related data from multiple data centers and corresponding applications ,"b.well Connected Health, Inc.","Kristen VALDES, Philips JOHNSON, Yelena BALIN",2016-11-01,2017-11-01,2021-05-11,2021-05-11,https://patents.google.com/patent/US11004547B2/en,https://patentimages.storage.googleapis.com/1b/45/3c/628d763d6c6cac/US11004547-20210511-D00000.png
US-10424033-B2,Healthcare practice management systems and methods ,"Breg, Inc.",Steven Robert Romeo,2013-03-15,2013-03-15,2019-09-24,2019-09-24,https://patents.google.com/patent/US10424033B2/en,https://patentimages.storage.googleapis.com/7e/47/44/5a1813b19e7af2/US10424033-20190924-D00000.png
US-10902950-B2,Collaborative healthcare ,Accenture Global Services Limited,"Erin Maneri, Pramila Mullan, Brad H. Ruderman, Alice Tsing, Jitendra Kavathekar, Dadong Wan",2013-04-09,2013-08-28,2021-01-26,2021-01-26,https://patents.google.com/patent/US10902950B2/en,https://patentimages.storage.googleapis.com/f4/f8/3e/3deed24d2e0984/US10902950-20210126-D00000.png
US-8751262-B2,Intelligent tokens for automated health care information systems ,"Allscripts Software, Llc",Richard P. Mansour,2010-02-11,2012-09-15,2014-06-10,2014-06-10,https://patents.google.com/patent/US8751262B2/en,https://patentimages.storage.googleapis.com/c6/aa/0a/89165d3c363ae4/US08751262-20140610-D00000.png
US-10541054-B2,Structured support of clinical healthcare professionals ,Massachusetts General Physicians Organization,"Michael E. Zalis, Mitchell A. Harris, Creagh Milford, Timothy Ferris",2013-08-19,2014-08-19,2020-01-21,2020-01-21,https://patents.google.com/patent/US10541054B2/en,https://patentimages.storage.googleapis.com/b0/fc/12/e8129420e2eb5e/US10541054-20200121-D00000.png
US-10671702-B2,System and method of event sequencing and record automation for healthcare ,Matthew Ross Darling,Matthew Ross Darling,2010-02-15,2017-02-08,2020-06-02,2020-06-02,https://patents.google.com/patent/US10671702B2/en,https://patentimages.storage.googleapis.com/f0/fe/c6/0db19d0557c13c/US10671702-20200602-D00000.png
US-9953385-B2,System and method for measuring healthcare quality ,International Business Machines Corporation,"Charlie Lougheed, Anil Jain, Doug Meil, Brad Jarrell",2012-07-24,2012-07-24,2018-04-24,2018-04-24,https://patents.google.com/patent/US9953385B2/en,https://patentimages.storage.googleapis.com/03/c4/75/7e04a46eed0cbb/US09953385-20180424-D00000.png
US-11185227-B2,Method and system for automated healthcare monitoring of a patient ,Tata Consultancy Services Limited,"Parijat Dilip Deshpande, Arijit Sinharay, Ranjan Dasgupta, Arpan Pal",2015-09-30,2016-09-26,2021-11-30,2021-11-30,https://patents.google.com/patent/US11185227B2/en,https://patentimages.storage.googleapis.com/41/57/62/ed55c9e9c99137/US11185227-20211130-D00000.png
US-9734287-B2,Linking health care applications for information management ,Quintiles Ims Incorporated,"Stefan Clemens Linn, John Diarmuid MacCarthy, Seth David Reid",2013-02-27,2013-03-14,2017-08-15,2017-08-15,https://patents.google.com/patent/US9734287B2/en,https://patentimages.storage.googleapis.com/ea/7d/24/ae967bedded639/US09734287-20170815-D00000.png
US-11256876-B2,Gap in care determination using a generic repository for healthcare ,"Cerner Innovation, Inc.","Vikram Anand, Farbod Rahmanian, William Michael Hasling, Brian Thornton, Muthu Premananth, Daniel Antohe, Radu Stefan Niculescu, Camille Anne Egan, Bette Jane Reese, William A. Landi, Todd W. Fritsche",2013-07-15,2019-12-05,2022-02-22,2022-02-22,https://patents.google.com/patent/US11256876B2/en,https://patentimages.storage.googleapis.com/ec/eb/af/3d18d8f6d64333/US11256876-20220222-D00000.png
US-10943679-B2,Computer apparatus and method to identify healthcare resources used by a patient of a medical institution ,Fujitsu Limited,"Nuria GARCIA SANTA, Boris VILLAZ횙N-TERRAZAS, Victor DE LA TORRE",2016-10-06,2017-08-07,2021-03-09,2021-03-09,https://patents.google.com/patent/US10943679B2/en,https://patentimages.storage.googleapis.com/f5/1e/09/909b7ace75ebbe/US10943679-20210309-D00000.png
US-11127502-B2,Computer apparatus and method to identify healthcare resources used by a patient given a potential diagnosis ,Fujitsu Limited,"Boris VILLAZ횙N-TERRAZAS, Nuria GARCIA SANTA, Victor DE LA TORRE",2016-10-06,2017-09-05,2021-09-21,2021-09-21,https://patents.google.com/patent/US11127502B2/en,https://patentimages.storage.googleapis.com/90/bf/b9/ac119543cf3676/US11127502-20210921-D00000.png
