patent_number,text,promising
10636516,analysis assessment client communication computer device display embodiment generate healthcare information input medium object patient plurality profile selection status system time treatment user,0
9305140,care database delivery determine engine form health information method network section state status store subject system treatment,1
10417446,apparatus body care computer data detector event information management medium method monitor patient processor storage store unit use,1
11170881,care communication device display example healthcare information instruction method monitoring output patient portion provider space store system user,0
10665334,care code computer diagnosis disclosure flow health healthcare information medication medium method monitoring part patient plan product program provider record response service system,0
10042979,access action command data device display healthcare information input method patient processing provide result screen system user value,1
8805900,apparatus care computer determine device health healthcare information item location memory method patient processor product program query system value,0
10217527,access action command device display event healthcare information input method monitoring patient portion processing representation screen system user,0
10366204,healthcare method platform process processing system,1
10068057,access action command device display healthcare information input method patient processing region set system user,1
9330236,condition criterion health healthcare indication information method patient rule service source system,1
11087878,apparatus configuration connection database environment example healthcare interface machine message method pattern plurality source system target,0
11004547,application device environment generate healthcare interface method model plurality record source store system user,0
10424033,application client device example flow form healthcare information management method operation protocol storage system type,1
10902950,data detection example generate healthcare patient plan plurality program provider response source view,0
8751262,care code criterion database document generate health information instruction item memory method part patient process quality record rule score store system,0
10541054,communication computer data database display element generate healthcare interface intervention method network order patient plurality portion query result source support system term user,0
10671702,action area care condition database device entity event healthcare identity input interface management method patient procedure record response rule system tag,0
9953385,attribute computer dataset healthcare measure method patient plurality provider quality rule system,0
11185227,body caregiver cloud diagnosis disease embodiment engine health intervention method monitor monitoring multi parameter patient person platform plurality report sensor server system value,0
9734287,access application care communication computer disclosure health information management method software system,1
10943679,apparatus computer generate healthcare information input instruction knowledge memory method processor record resource service term,0
11127502,account analysis apparatus computer diagnosis form healthcare information instruction knowledge memory method object patient perform processor resource service,0
9323894,access area care detection detector device health identity module monitoring operation patient perform presence system task,1
8392219,claim computer healthcare identifier information method part patient pharmacy portion prescription process product program request system,0
10482385,algorithm analysis aspect computer condition diagnosis drug generate healthcare medium model network patient plurality relationship selection system treatment,0
8930214,camera computer connection device display function group information input instruction management medium memory plurality procedure processor record resource system video,1
10380547,healthcare information member method network system transaction user,0
10453563,care computer database event facility health message method patient record rule text transaction,0
10592501,accordance alert care communication database drug effect food generate health information method patient platform plurality processing program record system tool user,0
11200966,association database device factor healthcare information instruction location method prediction record risk store system,0
11043293,device diagnosis display embodiment field form healthcare information input interface list medication output prescription processor provider treatment user,0
9710600,apparatus computer health healthcare management medium method program provider record storage system time,1
9536049,access aspect command diagnosis healthcare identity information interaction interface language management medication patient record representation system task treatment user,1
8515777,cost healthcare model outcome patient point resource result service system,1
11177031,access action application association cause computer device healthcare information input network order perform plurality process system,0
8825775,apparatus entity example healthcare identification information message method plurality system type,0
9996664,combination configuration content entity healthcare message method record rule system,1
10600516,administration care case disease emergency healthcare invention level management member method patient plan resource risk room,0
11037659,accordance aspect decision generate healthcare node record result support,0
9582641,access activity alarm control database healthcare method patient plan process provider server service system time user,0
10318635,code collection condition database distribution entity field healthcare information number service store system transaction,0
8660857,feature generate group measure method model outcome output patient population query recommendation record representation system,0
9846850,action client device entry event example facility healthcare information patient plurality request schedule system,0
10943676,action cause entity generate group hospital information instruction item output patient probability system technology,0
10565315,code collection condition database distribution field healthcare information number service store system transaction,0
8930471,computer end environment example field healthcare interface message method number point service structure system,0
11101044,action communication database example healthcare method parameter patient plan provider record response service system time,0
11049617,access cause communication device drug environment healthcare hospital identification information interface method network patient step tag,0
8321243,claim computer healthcare information method part patient product provider request system transaction,1
10650478,application computer generate healthcare information medium method record representation source storage structure system time,0
10978197,care generate health healthcare information patient provider record service system use,0
10510439,generate healthcare indication information method patient plurality processing provider relationship system,0
9934361,generate healthcare method model party platform prediction set source use,0
10692589,action apparatus basis care communication computer group health input management method network output parameter platform plurality processing processor product program relationship state storage store structure system treatment,0
10957451,access algorithm apparatus communication condition database determine device effect engine example health healthcare information interaction interface machine method model patient plan rate selection server system treatment,0
11056237,activity care comparison display event health healthcare instruction method patient plan processor representation system treatment value,0
8630842,action computer display healthcare input method plurality record selection service target user,0
10957435,alert care computer decision health healthcare interaction machine message model order patient provider system target time treatment use,0
10902090,care cost hand health healthcare intervention level method order patient sensor system technology,0
10691774,care cost device effect embodiment factor health healthcare information list medication method platform prescription process query selection storage system user,0
8990834,application communication component controller engine function healthcare information interface method party server system transmission,0
8738398,apparatus disclosure distribution drug embodiment information method outcome patient prescription system,0
11096577,care communication criterion engine health information notification party patient rule set status system time,0
8996584,application content delivery example healthcare identifier item location management method plurality provide relationship service source system target,0
10869601,access care computer condition criterion diagnosis entry health monitor monitoring part record secure step system time treatment,0
10902945,activity analysis caregiver condition decision diagnosis disease entity example facility health healthcare hospital index measurement mechanism outcome patient provider report study system technique treatment,0
10303851,access application care communication computer database delivery device diagnosis health information patient platform recommendation server system time treatment,1
9734290,account analysis body computer cost disease health healthcare index interaction model plan program provider record system time,1
8930222,action comparison criterion disease health healthcare management method patient profile status system,1
9734512,adherence assessment computer condition cost database decision device form invention medium method model number outcome output performance point process processor protocol provider series service software support system time tool treatment,0
10847256,access change communication computer database health healthcare information interface management method multi network party patient plurality product program provider record security server service system,0
10818383,care database distribution entry feature healthcare hospital identifier information method patient unit,1
10403391,code distribution entity healthcare information map processor service system value,0
11087886,application cause device disease facility health healthcare indication location notification patient person portion record system,0
10340038,care device health healthcare input method outcome output parameter person system transaction,1
11158418,apparatus communication embodiment healthcare interface machine message method network record segment service system type,0
10437960,apparatus care change computer device display facility health healthcare information input management method output patient plurality processor product program room system,0
10937553,determine entity message method number portion process processing system,0
10522249,access change computer database healthcare information method plurality record report server system tag,0
8494872,computer healthcare information input interface management profile program server service site source system user,0
8392209,apparatus association claim code computer delivery information method part pharmacy portion product request response service support system transaction,0
10977254,action application claim condition criterion embodiment example factor healthcare information level list location network patient procedure provider quality query result score search system term type user volume,0
10720232,access account device document entry event healthcare management module network program record request store system technique user,0
10726152,access application client computer device file health healthcare identifier management patient plurality portion record system technology,0
10909627,access change computer database generate healthcare information method record report server system,0
11056219,access care computer condition device diagnosis display facility health healthcare instruction method plan processor record system treatment value,0
9619849,communication computer content control database delivery device event health healthcare information input interface method monitor monitoring network patient plan process provider record server status system time,1
11126696,component computer cost healthcare method patient perform prediction procedure provide provider recommendation software system,0
10665335,acquisition camera care cloud command device display health image location memory method network record request schedule screen security service storage system,0
10318710,action aspect claim entity healthcare method notification parameter patient processing record system,0
10292653,amount device healthcare information measurement method mode position response sensor state time user,0
10319473,action activity adherence camera combination compliance device hand healthcare management medication monitor movement part performance position sensor system,0
10402927,decision hospital information management patient performance processing protocol record resource structure,0
10354755,area care code condition diagnosis embodiment factor group health method number patient provider score system volume,0
10255337,care circuitry computer context element health information method order plurality processing product program system,0
9633174,account action activity computer connection cost health healthcare information interface member plan product program quality rule system term,0
11107576,access care communication computer information message method order patient prescription provider record system text,0
8984583,access action compliance computer control healthcare method plurality processor record user,1
8700427,care claim computer cost database function healthcare input invention management medium memory message method notification perform processor product program report service system user,0
10528913,care compliance context decision device facility indication information item management performance protocol record resource result sensor status structure,0
8521564,collection control database healthcare information interaction interface patient point question technology tool,1
9642967,caregiver communication compliance connection device display hand healthcare monitor monitoring patient protocol support system use,1
10318915,application change code drug environment hand healthcare identity location machine mechanism patient process product provider record sample series system time transaction,0
10446274,analysis apparatus basis case cloud health healthcare information management method platform provider record result service,0
9202066,care communication database determine health method patient plurality processor relationship set store system,0
10910106,body care device embodiment feedback health heart location monitoring movement number parameter patient platform rate sensor software state system technology temperature time,0
10847265,area classification device diagnosis disease embodiment healthcare image instruction memory method processor recommendation step system technique treatment user,0
9875450,activity area assessment engine event facility healthcare information interface level list method network plurality point provider quality report resource sensor server storage store subject system time user value,1
11071454,apparatus device facility healthcare identification identifier label location machine plurality sensor server support system,0
10424031,application code computer context device display healthcare image information operation processor resource response session system text,1
9819650,analysis application device environment healthcare interface method network plurality portion query result secure server session source space system,1
10111591,element environment feedback health healthcare instruction interface measurement memory method module monitor monitoring patient processor sensor status system time,1
11049600,communication device distribution drug environment healthcare network patient server system use,0
