vacant_number,text
vacant1,access account acquisition action activity adherence administration agent alarm alert algorithm amount analysis apparatus application area aspect association attribute base blood body brain camera cancer candidate capture caregiver case cell change circuit circuitry claim classification client cloud code collection combination command communication comparison compliance component computer condition configuration connection contact container content context contrast control controller criterion data database dataset decision delivery detection detector determination disclosure disease disorder dispenser display distribution document effect electrode element embodiment emergency end energy engine entity entry environment equipment evaluation examination example exercise facility feature feedback field file flow fluid food form frame frequency function generate group hand healthcare heart housing identification identifier identity image imaging index indication indicator infusion injection input instruction instrument insulin interaction interest interface intervention invention item knowledge label language level list location machine management map marker measure measurement mechanism medium member memory message method modality mode module monitor monitoring motion movement multi network node notification number object operation order output parameter part party pattern perform performance period person pharmacy pill pixel platform plurality point population portion position power prediction presence pressure probability procedure process processing processor product profile program projection property protocol pump quality query question radiation range rate ray recommendation reference region relationship remote report representation request resonance resource response result room rule sample score screen search section secure security segment selection sequence series server service session set sign signal site software source space state station status step stimulation storage store structure study subject substance support surface system tag target task technique technology temperature term test text time tissue tool training transaction transmission type unit user value vector vessel video view volume wireless
vacant2,access account acquisition action activity agent alarm alert amount analysis apparatus application area aspect assessment association attribute base body brain camera candidate caregiver case cause cell change circuit circuitry claim classification client cloud code collection command communication comparison compliance component computer condition configuration connection contact container content context contrast control controller cost criterion data database dataset decision detection detector determination device diagnosis disclosure disease dispenser display distribution document electrode element embodiment emergency end energy engine entity entry environment equipment evaluation examination example exercise facility feature feedback field file fluid food form frame frequency function generate generation group hand healthcare housing identification identifier identity image imaging indication indicator information infusion injection input instruction instrument insulin interaction interest interface intervention invention item label language list location machine management map measure mechanism member memory message method mode module monitor monitoring motion movement multi network node number object operation order part party patient pattern perform performance period person pharmacy pill pixel platform plurality point portion position power prediction probability procedure process processing processor product profile program projection property protocol provide pump quality query question radiation range rate ray recommendation record reference region relationship remote report representation request resonance resource result room rule sample score screen search secure security selection sensor sequence series server service session set sign signal site software source space state station status step stimulation storage store structure study subject substance support surface system tag target task technology temperature term test text time tissue tool training transaction transmission type unit user vector video volume wireless
vacant3,account acquisition action activity adherence administration agent alarm alert algorithm amount analysis apparatus application area aspect association attribute base blood body brain camera cancer candidate capture caregiver case cell change circuit circuitry claim classification client cloud code collection combination command communication comparison compliance component computer condition configuration connection contact container content context contrast control controller criterion data database dataset decision delivery detection detector determination disclosure disease disorder dispenser display distribution document effect electrode element embodiment emergency end energy engine entity entry environment equipment evaluation examination example exercise facility feature feedback field file flow fluid food form frame frequency function generate group hand heart housing identification identifier identity image imaging index indication indicator infusion injection input instruction instrument insulin interaction interest interface intervention invention item knowledge label language level list location machine management map marker measure measurement mechanism medium member memory message method modality mode module monitor monitoring motion movement multi network node notification number object operation order output parameter part party pattern perform performance period person pharmacy pill pixel platform plurality point population portion position power prediction presence pressure probability procedure process processing processor product profile program projection property protocol pump quality query question radiation range rate ray recommendation reference region relationship remote report representation request resonance resource response result room rule sample score screen search section secure segment selection sequence series server service session set sign signal site software source space state station status step stimulation storage store structure study subject substance support surface system tag target task technique technology temperature term test text time tissue tool training transaction transmission type unit user value vector vessel video view volume wireless
vacant4,access accordance account action activity agent alarm alert amount analysis apparatus application area aspect assessment association attribute base body brain camera candidate caregiver case cause cell change circuit circuitry classification client cloud code collection command communication comparison compliance component computer condition configuration connection contact container content context control controller cost criterion data database decision detector determination determine device diagnosis disclosure dispenser display distribution document electrode element embodiment emergency end energy engine entity environment equipment evaluation examination exercise facility feedback field file fluid form frame frequency function generate generation healthcare housing identification identifier identity image indication indicator information infusion instruction insulin interaction interest interface invention item label language list location management map measure member memory method mode module monitor monitoring motion movement multi network object operation order party patient perform performance period person pharmacy pixel platform portion position power prescription process processing processor profile projection protocol provide quality question radiation range record region relationship remote report representation resonance resource result room rule screen search secure security sensor sequence server session set site software source space station status step storage structure study subject support surface system tag task technology temperature term text tool transmission type unit use video wireless
vacant5,access accordance account action activity agent alarm alert amount analysis apparatus application area aspect assessment association attribute base body brain camera candidate caregiver case cause cell change circuit circuitry classification client cloud code collection command communication comparison compliance component computer condition configuration connection contact container content context contrast control controller cost criterion data database decision detector determination determine device diagnosis disclosure disease dispenser display distribution document electrode element embodiment emergency end energy engine entity environment equipment evaluation examination example exercise facility feedback field file fluid food form frame frequency function generate generation healthcare housing identification identifier identity image indication indicator information infusion injection instruction insulin interaction interest interface invention item label language list location management map measure mechanism member memory method mode module monitor monitoring motion movement multi network object operation order party patient perform performance period person pharmacy pixel platform portion position power prescription procedure process processing processor profile program projection property protocol provide quality question radiation range ray record reference region relationship remote report representation request resonance resource result room rule screen search secure security sensor sequence server service session set sign site software source space state station status step storage structure study subject substance support surface system tag task technology temperature term text tool training transmission type unit use vector video wireless
vacant6,access accordance account action activity alarm application assessment body candidate care caregiver cause circuitry client cloud command communication compliance component computer configuration connection contact control cost data database decision determine device diagnosis disclosure drug embodiment emergency end engine environment feedback generate generation health healthcare identification identifier indication information interaction invention list location management measure medication mode module monitor monitoring motion network operation outcome patient perform performance pharmacy prescription processing protocol provide provider record remote report resource result room schedule screen security sensor software source station status support system technology tool transmission transmit use video wireless
vacant7,access accordance account action activity alarm apparatus application area aspect assessment association body camera candidate care caregiver case cause circuit circuitry client cloud command communication comparison compliance component computer configuration connection contact container content context control cost data database decision detector determination determine device diagnosis disclosure display electrode embodiment emergency end engine environment examination exercise facility feedback file frame frequency generate generation healthcare housing identification identifier indication information infusion interaction interface invention item list location management map measure medication mode module monitor monitoring motion multi network operation order patient perform performance period person pharmacy pixel portion position prescription processing profile projection protocol provide provider question record relationship remote report resource result room schedule screen secure security sensor sequence server session software source station status storage subject support surface system technology tool transmission unit use video wireless
vacant8,access accordance account action activity alarm application assessment body candidate care caregiver cause circuitry client cloud command communication compliance component computer configuration connection contact context control cost data database decision determine device diagnosis disclosure drug embodiment emergency end engine environment feedback generate generation health healthcare housing identification identifier indication information infusion interaction invention list location management measure medication mode module monitor monitoring motion multi network operation order patient perform performance pharmacy prescription processing protocol provide provider record relationship remote report resource result room schedule screen security sensor sequence software source station status support system technology tool transmission transmit use video wireless
vacant9,access accordance account action activity alarm application assessment body camera candidate care caregiver cause circuitry client cloud command communication compliance component computer configuration connection contact container content context control cost data database decision determine device diagnosis disclosure drug embodiment emergency end engine environment exercise facility feedback file generate generation health healthcare housing identification identifier indication information infusion interaction invention list location management measure medication mode module monitor monitoring motion multi network operation order patient perform performance pharmacy position prescription processing protocol provide provider record relationship remote report resource result room schedule screen secure security sensor sequence software source station status storage support system technology tool transmission transmit use video wireless
vacant10,access accordance account action activity alarm apparatus application area aspect assessment association body camera candidate care caregiver case cause circuit circuitry client cloud command communication comparison compliance component computer configuration connection contact container content context control cost data database decision detector determine device diagnosis disclosure display electrode embodiment emergency end engine environment examination exercise facility feedback file frame frequency generate generation healthcare housing identification identifier indication information infusion interaction interface invention item list location management map measure medication mode module monitor monitoring motion multi network operation order patient perform performance period pharmacy pixel portion position prescription processing profile projection protocol provide provider record relationship remote report resource result room schedule screen secure security sensor sequence server session software source station status storage subject support surface system technology tool transmission unit use video wireless
vacant11,access accordance account action activity alarm application assessment body candidate care caregiver cause circuitry command communication compliance component computer configuration contact control cost data database decision determine device diagnosis drug embodiment end factor generation health healthcare identification information location measure medication mode monitor monitoring motion network operation outcome patient performance prescription processing protocol provide provider record remote resource result schedule screen security sensor software status support system tool transmit treatment use wireless
vacant12,access accordance account action activity alarm application assessment body candidate care caregiver cause circuitry cloud command communication compliance component computer configuration connection contact control cost data database decision determine device diagnosis drug embodiment end engine environment feedback generate generation health healthcare identification indication information interaction invention location management measure medication mode module monitor monitoring motion network operation outcome patient performance pharmacy prescription processing protocol provide provider record remote report resource result room schedule screen security sensor software status support system tool transmission transmit use wireless
vacant13,access accordance account action activity alarm apparatus application area aspect assessment association body camera candidate care caregiver cause circuitry client cloud command communication comparison compliance component computer configuration connection contact container content context control cost data database decision determine device diagnosis disclosure display drug electrode embodiment emergency end engine environment examination exercise facility feedback file frame frequency generate generation healthcare housing identification identifier indication information infusion interaction interface invention list location management measure medication mode module monitor monitoring motion multi network operation order patient perform performance period pharmacy pixel position prescription processing profile protocol provide provider record relationship remote report resource result room schedule screen secure security sensor sequence server session software source station status storage subject support surface system technology tool transmission unit use video wireless
vacant14,access account acquisition action activity agent alarm alert amount analysis apparatus application area aspect assessment association attribute base body brain camera candidate caregiver case cause cell change circuit circuitry claim classification client cloud code collection command communication comparison compliance component computer condition configuration connection contact container content context contrast control controller cost criterion data database dataset decision detection detector determination device diagnosis disclosure disease dispenser display distribution document electrode element embodiment emergency end energy engine entity entry environment equipment evaluation examination example exercise facility feature feedback field file fluid food form frame frequency function generate generation group hand healthcare housing identification identifier identity image imaging indication indicator information infusion injection input instruction instrument insulin interaction interest interface intervention invention item label language list location machine management map measure mechanism member memory message method mode module monitor monitoring motion movement multi network node number object operation order part party patient pattern perform performance period person pharmacy pill pixel platform plurality point portion position power prediction probability procedure process processing processor product profile program projection property protocol provide pump quality query question radiation range rate ray recommendation record reference region relationship remote report representation request resonance resource result room rule sample score screen search secure security selection sensor sequence series server service session set sign signal site software source space state station status step stimulation storage store structure study subject substance support surface system tag target task technology temperature term test text time tissue tool training transaction transmission type unit user vector video volume wireless
vacant15,access accordance account action activity alarm application assessment candidate care caregiver cause command communication compliance component configuration contact control cost data database decision determine device diagnosis dosage drug embodiment end factor generation health healthcare identification information location measure medication monitor monitoring motion operation outcome patient performance plan prescription processing protocol provide provider record remote resource result schedule screen security sensor software status support system tool transmit treatment use wireless
vacant16,access accordance account action activity alarm application assessment candidate care caregiver cause command communication compliance component configuration contact control cost data database decision determine device diagnosis dosage drug embodiment end factor generation health healthcare identification information location measure medication monitor monitoring motion operation outcome patient performance plan prescription processing protocol provide provider record remote resource schedule screen security sensor software status support system tool transmit treatment use wireless
vacant17,access accordance account application assessment candidate care caregiver cause command communication configuration contact cost data database determine device diagnosis dosage drug end factor generation health healthcare identification information medication monitor monitoring outcome patient performance plan prescription protocol provide provider record remote schedule screen security sensor software tool transmit treatment use wireless
vacant18,accordance adherence administration algorithm assistance basis blood cancer capture care combination delivery determine disorder dosage drug effect event factor flow health heart hospital index knowledge level marker measurement medication medium modality model notification outcome output parameter plan population prescription presence pressure provider response risk schedule section segment technique therapy transmit treatment use value vessel view
vacant19,accordance assessment assistance basis care cause cost determine device diagnosis dosage drug event factor generation health hospital information medication model outcome patient plan prescription provide provider risk schedule sensor therapy transmit treatment use
vacant20,acquisition adherence administration agent algorithm analysis assistance basis blood brain cancer capture cell claim collection combination condition contrast criterion dataset delivery detection disease disorder distribution dosage drug effect element energy entry equipment evaluation event example factor feature field flow food form group hand health heart hospital image imaging index injection input instruction instrument insulin interest intervention knowledge label level machine marker measurement mechanism medium member message method modality model node notification number object outcome output parameter part party pattern pill plan plurality point population power prediction presence pressure probability procedure process product program property pump quality query radiation rate ray recommendation reference representation request response risk rule sample score search section segment selection series service sign signal site space state stimulation store structure substance target technique temperature test therapy time tissue training transaction transmit treatment type user value vector vessel view volume
vacant21,acquisition adherence administration agent alert algorithm amount analysis apparatus area aspect assistance association attribute base basis blood brain camera cancer capture case cell change circuit claim classification code collection combination comparison condition container content context contrast controller criterion dataset delivery detection detector determination disease disorder dispenser display distribution document dosage effect electrode element energy entity entry equipment evaluation event examination example exercise facility factor feature field file flow fluid food form frame frequency function group hand heart hospital housing identity image imaging index indicator infusion injection input instruction instrument insulin interest interface intervention item knowledge label language level list machine map marker measurement mechanism medium member memory message method modality model movement multi node notification number object order output parameter part party pattern period person pill pixel plan platform plurality point population portion position power prediction presence pressure probability procedure process processor product profile program projection property pump quality query question radiation range rate ray recommendation reference region relationship representation request resonance response risk rule sample score search section secure segment selection sequence series server service session set sign signal site space state step stimulation storage store structure study subject substance surface tag target task technique temperature term test text therapy time tissue training transaction treatment type unit user value vector vessel view volume
vacant22,acquisition adherence administration agent alert algorithm amount analysis apparatus area aspect assistance association attribute base basis blood brain camera cancer capture case cell change circuit claim classification code collection combination comparison condition container content context contrast controller criterion dataset delivery detection detector determination disclosure disease disorder dispenser display distribution document dosage effect electrode element emergency energy entity entry equipment evaluation event examination example exercise facility factor feature field file flow fluid food form frame frequency function group hand heart hospital housing identifier identity image imaging index indicator infusion injection input instruction instrument insulin interest interface intervention item knowledge label language level list machine map marker measurement mechanism medium member memory message method modality model movement multi node notification number object order output parameter part party pattern perform period person pill pixel plan platform plurality point population portion position power prediction presence pressure probability procedure process processor product profile program projection property pump quality query question radiation range rate ray recommendation reference region relationship representation request resonance response risk rule sample score search section secure segment selection sequence series server service session set sign signal site source space state station step stimulation storage store structure study subject substance surface tag target task technique temperature term test text therapy time tissue training transaction treatment type unit user value vector vessel video view volume
vacant23,accordance adherence administration algorithm assistance basis blood cancer capture care combination delivery determine disorder dosage drug effect event factor flow health heart hospital index knowledge level marker measurement medication medium modality model notification outcome output parameter plan population prescription presence pressure provider response risk schedule section segment technique therapy transmit treatment use value vessel view
vacant24,acquisition adherence administration algorithm assistance basis blood cancer capture care claim combination contrast dataset delivery detection disease disorder dosage drug effect entry event factor feature flow food group hand health heart hospital imaging index injection input instrument intervention knowledge level machine marker measurement medication medium message modality model node notification number outcome output parameter part pattern pill plan plurality point population prediction presence pressure probability product program property provider pump query rate ray recommendation reference response risk sample schedule score section segment selection series service sign signal state stimulation store substance target technique test therapy time tissue training transaction transmit treatment user value vessel view volume
vacant25,acquisition adherence administration agent algorithm analysis assistance attribute basis blood brain cancer capture cell change claim classification code collection combination condition contrast controller criterion dataset delivery detection disease disorder distribution dosage drug effect element energy entry equipment evaluation event example factor feature field flow food form group hand health heart hospital image imaging index indicator injection input instruction instrument insulin interest intervention knowledge label level machine marker measurement mechanism medium member message method modality model movement node notification number object outcome output parameter part party pattern pill plan plurality point population power prediction presence pressure probability procedure process product program property pump quality query radiation range rate ray recommendation reference representation request resonance response risk rule sample score search section segment selection series service sign signal site space state stimulation store structure substance tag target task technique temperature term test therapy time tissue training transaction transmit treatment type user value vector vessel view volume
