keyword,count,perc
apparatus,3,0.10714285714285714
body,2,0.07142857142857142
care,3,0.10714285714285714
computer,9,0.32142857142857145
data,2,0.07142857142857142
detector,4,0.14285714285714285
event,13,0.4642857142857143
information,5,0.17857142857142858
management,4,0.14285714285714285
medium,4,0.14285714285714285
method,22,0.7857142857142857
monitor,1,0.03571428571428571
patient,19,0.6785714285714286
processor,2,0.07142857142857142
storage,2,0.07142857142857142
store,1,0.03571428571428571
unit,1,0.03571428571428571
use,2,0.07142857142857142
database,2,0.07142857142857142
facility,1,0.03571428571428571
health,2,0.07142857142857142
message,1,0.03571428571428571
record,2,0.07142857142857142
rule,1,0.03571428571428571
text,1,0.03571428571428571
transaction,1,0.03571428571428571
analysis,3,0.10714285714285714
capture,1,0.03571428571428571
condition,2,0.07142857142857142
feedback,2,0.07142857142857142
generate,1,0.03571428571428571
generation,2,0.07142857142857142
healthcare,3,0.10714285714285714
interface,2,0.07142857142857142
motion,1,0.03571428571428571
outcome,3,0.10714285714285714
output,2,0.07142857142857142
position,2,0.07142857142857142
provider,3,0.10714285714285714
system,19,0.6785714285714286
user,4,0.14285714285714285
device,6,0.21428571428571427
disease,2,0.07142857142857142
disorder,1,0.03571428571428571
memory,1,0.03571428571428571
network,2,0.07142857142857142
prescription,1,0.03571428571428571
request,1,0.03571428571428571
response,5,0.17857142857142858
security,1,0.03571428571428571
therapy,1,0.03571428571428571
treatment,5,0.17857142857142858
alert,1,0.03571428571428571
circuit,1,0.03571428571428571
control,1,0.03571428571428571
criterion,1,0.03571428571428571
determine,2,0.07142857142857142
heart,1,0.03571428571428571
indicator,1,0.03571428571428571
input,2,0.07142857142857142
machine,4,0.14285714285714285
plurality,5,0.17857142857142858
query,1,0.03571428571428571
signal,2,0.07142857142857142
target,2,0.07142857142857142
blood,19,0.6785714285714286
display,2,0.07142857142857142
point,1,0.03571428571428571
status,1,0.03571428571428571
time,2,0.07142857142857142
activity,3,0.10714285714285714
determination,1,0.03571428571428571
example,1,0.03571428571428571
flow,9,0.32142857142857145
image,10,0.35714285714285715
interest,5,0.17857142857142858
measurement,8,0.2857142857142857
model,14,0.5
vessel,8,0.2857142857142857
assessment,4,0.14285714285714285
pressure,3,0.10714285714285714
region,2,0.07142857142857142
state,3,0.10714285714285714
aspect,1,0.03571428571428571
comparison,1,0.03571428571428571
monitoring,2,0.07142857142857142
notification,1,0.03571428571428571
area,1,0.03571428571428571
measure,5,0.17857142857142858
section,2,0.07142857142857142
segment,1,0.03571428571428571
structure,1,0.03571428571428571
subject,1,0.03571428571428571
effect,2,0.07142857142857142
fluid,1,0.03571428571428571
risk,3,0.10714285714285714
location,1,0.03571428571428571
plan,1,0.03571428571428571
portion,2,0.07142857142857142
prediction,3,0.10714285714285714
probability,1,0.03571428571428571
source,1,0.03571428571428571
sensor,3,0.10714285714285714
evaluation,2,0.07142857142857142
feature,2,0.07142857142857142
term,1,0.03571428571428571
controller,1,0.03571428571428571
parameter,4,0.14285714285714285
profile,1,0.03571428571428571
surface,1,0.03571428571428571
content,1,0.03571428571428571
contrast,2,0.07142857142857142
detection,3,0.10714285714285714
pixel,1,0.03571428571428571
ray,1,0.03571428571428571
sequence,1,0.03571428571428571
action,1,0.03571428571428571
agent,1,0.03571428571428571
examination,1,0.03571428571428571
intervention,2,0.07142857142857142
invention,1,0.03571428571428571
representation,1,0.03571428571428571
collection,1,0.03571428571428571
embodiment,1,0.03571428571428571
mode,1,0.03571428571428571
operation,1,0.03571428571428571
part,1,0.03571428571428571
period,1,0.03571428571428571
process,1,0.03571428571428571
training,1,0.03571428571428571
level,5,0.17857142857142858
report,1,0.03571428571428571
value,3,0.10714285714285714
field,1,0.03571428571428571
population,1,0.03571428571428571
marker,1,0.03571428571428571
procedure,2,0.07142857142857142
processing,1,0.03571428571428571
resonance,1,0.03571428571428571
sample,1,0.03571428571428571
basis,1,0.03571428571428571
result,1,0.03571428571428571
amount,1,0.03571428571428571
factor,1,0.03571428571428571
platform,2,0.07142857142857142
type,1,0.03571428571428571
entity,1,0.03571428571428571
program,1,0.03571428571428571
relationship,1,0.03571428571428571
schedule,1,0.03571428571428571
series,1,0.03571428571428571
technique,1,0.03571428571428571
